fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),474000,0.067,0,0.184,0,0.141,0.004,,
pDDM (std),566,0.002,0,0.005,0,0.003,0.0,,
mDDM (mean),477170,0.11,0,0.028,0.004,0.293,0.0,,
mDDM (std),1013,0.004,0,0.0,0.0,0.005,0.0,,
mSOU (mean),471662,0.116,-0.008,0.741,0.029,0.224,0.01,,
mSOU (std),233,0.001,0.0,0.019,0.0,0.003,0.0,,
mUOU (mean),392022,0.965,11.94,1.137,0.117,0.002,0.011,,
mUOU (std),90,0.011,0.045,0.025,0.001,0.0,0.0,,
LCA (mean),385112,0.208,,0.393,,,0.069,0.751,1.401
LCA (std),9,0.0,,0.003,,,0.0,0.006,0.013
