fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),390243,0.08,0,0.107,0,0.043,0.031,,
pDDM (std),51,0.001,0,0.002,0,0.0,0.001,,
mDDM (mean),388795,0.257,0,0.383,0.09,0.072,0.098,,
mDDM (std),9,0.001,0,0.004,0.001,0.001,0.002,,
mSOU (mean),388972,0.273,-0.788,0.381,0.129,0.014,0.005,,
mSOU (std),14,0.001,0.011,0.004,0.001,0.0,0.0,,
mUOU (mean),388846,0.326,0.358,0.434,0.144,0.011,0.143,,
mUOU (std),9,0.001,0.005,0.009,0.001,0.0,0.002,,
LCA (mean),389703,0.051,,7.335,,,0.013,0.101,25.421
LCA (std),33,0.0,,0.157,,,0.0,0.002,0.591
