fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),393432,0.087,0,0.07,0,0.0,0.05,,
pDDM (std),132,0.001,0,0.002,0,0.0,0.001,,
mDDM (mean),389515,0.626,0,0.671,0.737,0.002,0.342,,
mDDM (std),9,0.002,0,0.005,0.006,0.0,0.004,,
mSOU (mean),389498,0.273,-3.533,0.388,0.172,0.065,0.084,,
mSOU (std),6,0.001,0.025,0.001,0.002,0.001,0.0,,
mUOU (mean),389535,0.566,0.18,0.658,0.563,0.001,0.302,,
mUOU (std),27,0.004,0.004,0.008,0.01,0.0,0.004,,
LCA (mean),390975,0.042,,6.524,,,0.003,8.153,0.494
LCA (std),82,0.0,,0.075,,,0.0,0.042,0.006
