fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),392088,0.05,0,0.072,0,0.071,0.001,,
pDDM (std),106,0.001,0,0.002,0,0.0,0.0,,
mDDM (mean),389278,0.201,0,0.442,0.156,0.0,0.01,,
mDDM (std),15,0.0,0,0.008,0.001,0.0,0.0,,
mSOU (mean),389222,0.146,-0.278,0.453,0.081,0.001,0.005,,
mSOU (std),11,0.0,0.004,0.005,0.001,0.0,0.0,,
mUOU (mean),389058,0.199,2.317,0.665,0.157,0.064,0.057,,
mUOU (std),9,0.0,0.038,0.002,0.001,0.001,0.001,,
LCA (mean),390052,0.166,,0.419,,,0.146,1.165,5.623
LCA (std),65,0.001,,0.007,,,0.001,0.009,0.139
