fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),374542,0.078,0,0.616,0,0.079,0.035,,
pDDM (std),14,0.0,0,0.008,0,0.002,0.001,,
mDDM (mean),375709,0.079,0,0.519,0.003,0.0,0.001,,
mDDM (std),43,0.0,0,0.007,0.0,0.0,0.0,,
mSOU (mean),374614,0.063,-2.355,0.495,0.0,0.053,0.008,,
mSOU (std),5,0.0,0.03,0.007,0.0,0.002,0.0,,
mUOU (mean),374603,0.081,0.161,0.564,0.001,0.063,0.035,,
mUOU (std),11,0.0,0.003,0.008,0.0,0.001,0.0,,
LCA (mean),377992,0.069,,0.346,,,0.041,12.176,12.176
LCA (std),103,0.0,,0.004,,,0.001,0.118,0.118
